"PlantCyc_PathwayID","PlantCyc_Pathway","CompoundID","CD_annotation","PlantCyc_Compound_annotation","PlantCyc_Compound_synonyms","PlantcCyc_CompoundID","Molecular_formula","Molecular_weight","WT-Fe","WT+Fe","log2fc","pvalue","FDR","VIP","WT-Fe_rep01","WT-Fe_rep02","WT-Fe_rep03","WT+Fe_rep01","WT+Fe_rep02","WT+Fe_rep03"
"PWY-5868","simple coumarins biosynthesis","Compound_0260","2-Hydroxy-3-(4-hydroxyphenyl)propenoate","2,4-dihydroxycinnamate","2,4-dihydroxycinnamicacid","CPD-9800","C9H8O4",180.04153,7383405.266,4795249.411,0.622680493644227,0.0188969231854258,0.0784559757252053,1.21174227330808,7032421.183,7216126.669,7901667.946,5465000.956,3820252.059,5100495.218
"PWY-5868","simple coumarins biosynthesis","Compound_0443","4-Coumarylalcohol(4-Hydroxycoumarin)","umbelliferone","7-hydroxy-1-benzopyran-2-one*7-oxycoumarin*skimmetin*hydrangin*7-hydroxycoumarin","CPD-8186","C9H6O3",162.03097,4971070.06333333,3263382.52333333,0.607188331607076,0.0125158718215728,0.066238468391137,1.19879230912918,4905230.609,4506288.215,5501691.366,3685831.732,2765594.775,3338721.063
"PWY-5868","simple coumarins biosynthesis","Compound_0473","4-Methylumbelliferone hydrate-isoform2","herniarin","herniarine*ayapanin*7-methoxycoumarin*methylumbelliferone","CPD-9828","C10H8O3",176.04655,62495302.49,133259566.8,-1.09241945119331,0.0011114420817462,0.03564279779393,1.30292988637508,55682277.1,61028038.72,70775591.65,144508558.4,123498570,131771572
"PWY-5868","simple coumarins biosynthesis","Compound_0579","6-Methoxy-7-hydroxycoumarin","scopoletin","7-hydroxy-6-methoxy-2-chromen-2-one","SCOPOLETIN","C10H8O4",192.04134,129998558.5,67783762.0166667,0.939484011784773,0.0335851875958261,0.105920336378551,1.16564024813232,136456712.8,101845818.6,151693144.1,80137266.91,54420082.26,68793936.88
"PWY-5868","simple coumarins biosynthesis","Compound_1666","Scopoletin-isoform2","scopoletin","7-hydroxy-6-methoxy-2-chromen-2-one","SCOPOLETIN","C10H8O4",192.04129,43302578.24,15575449.1,1.47517916343536,0.000354299361592352,0.0314148316762193,1.30879166534193,42992216.67,40672895.22,46242622.83,17284570.63,13705476.83,15736299.84
"PWY-5868","simple coumarins biosynthesis","Compound_1667","Scopoletin-isoform3","scopoletin","7-hydroxy-6-methoxy-2-chromen-2-one","SCOPOLETIN","C10H8O4",192.0413,15268080746,1655754198.33333,3.2049583000018,0.000361582534335162,0.0314148316762193,1.31925765316196,16126196242,14520093728,15157952268,1988688053,1503419348,1475155194
"PWY-5868","simple coumarins biosynthesis","Compound_0579","6-Methoxy-7-hydroxycoumarin","isoscopoletin","7-methoxyesculetin*7-methyl esculetin*6-hydroxy-7-methoxycoumarin","CPD-9831","C10H8O4",192.04134,129998558.5,67783762.0166667,0.939484011784773,0.0335851875958261,0.105920336378551,1.16564024813232,136456712.8,101845818.6,151693144.1,80137266.91,54420082.26,68793936.88
"PWY-5868","simple coumarins biosynthesis","Compound_1666","Scopoletin-isoform2","isoscopoletin","7-methoxyesculetin*7-methyl esculetin*6-hydroxy-7-methoxycoumarin","CPD-9831","C10H8O4",192.04129,43302578.24,15575449.1,1.47517916343536,0.000354299361592352,0.0314148316762193,1.30879166534193,42992216.67,40672895.22,46242622.83,17284570.63,13705476.83,15736299.84
"PWY-5868","simple coumarins biosynthesis","Compound_1667","Scopoletin-isoform3","isoscopoletin","7-methoxyesculetin*7-methyl esculetin*6-hydroxy-7-methoxycoumarin","CPD-9831","C10H8O4",192.0413,15268080746,1655754198.33333,3.2049583000018,0.000361582534335162,0.0314148316762193,1.31925765316196,16126196242,14520093728,15157952268,1988688053,1503419348,1475155194
"PWY-5868","simple coumarins biosynthesis","Compound_0598","6,7-Dihydroxycoumarin","esculetin","6, 7-dihydroxycoumarin*6,7-dihydroxycoumarin*6,7-dihydroxy-2-chromenone*cichorigenin*6,7-dihydroxy-1-benzopyran-2-one","CPD-8097","C9H6O4",178.02583,37031343.7333333,15052473.4666667,1.29874632628388,0.00408201494907447,0.0505662936500562,1.25088988387433,37735415.54,32036443.61,41322172.05,17627301.13,10005137.39,17524981.88
